誰	8752
培	8748
捜	8745
柱	8713
李	8662
償	8653
輩	8651
覆	8637
雇	8637
潮	8612
譜	8611
也	8568
荘	8545
賃	8524
繋	8501
滑	8488
頻	8485
拝	8484
括	8476
柔	8469
徹	8457
拳	8442
弥	8432
飼	8417
奨	8412
銅	8389
診	8388
怒	8358
孝	8355
透	8347
衰	8319
豆	8312
痛	8285
紅	8265
筒	8232
勧	8169
拓	8154
符	8151
騒	8140
晶	8114
貸	8063
穂	8050
欲	8026
陵	8022
尽	8020
遇	8020
晩	7998
箇	7979
梨	7973
貧	7972
悲	7965
隷	7959
偽	7935
糸	7925
茨	7920
斉	7895
緩	7876
髪	7816
鋼	7795
雅	7782
顧	7759
句	7755
届	7728
旋	7726
嘉	7722
塾	7718
昼	7691
看	7690
乾	7688
垣	7681
笠	7659
斜	7650
鑑	7625
劣	7579
洞	7574
筑	7556
幡	7555
紫	7539
勲	7521
昌	7520
浄	7459
促	7454
需	7446
偵	7445
擁	7431
浪	7426
緊	7420
庄	7366
呂	7363
憶	7358
粉	7353
斎	7326
罰	7313
菊	7303
麗	7295
扉	7288
劉	7285
貿	7279
贈	7241
紛	7238
肥	7219
寝	7210
祝	7210
滝	7209
旨	7196
屈	7184
逐	7182
糖	7180
努	7177
淡	7171
謝	7164
畑	7136
峰	7114
煙	7093
刷	7073
紋	7062
塞	7058
撲	7041
泰	7039
狩	7039
磨	7033
脇	7023
逸	7004
恒	7004
媒	6982
侯	6980
泊	6964
峡	6927
膜	6914
偶	6910
添	6902
附	6892
誠	6882
獄	6876
寒	6811
巣	6793
薩	6791
袋	6788
曹	6773
桂	6771
墳	6764
棒	6727
臓	6724
熟	6709
澤	6706
碑	6702
捨	6682
芳	6679
汚	6667
栽	6651
賢	6649
殆	6602
挟	6484
畿	6482
坊	6476
踊	6448
肩	6438
亭	6430
粒	6424
預	6406
叙	6386
偏	6354
狂	6343
栗	6327
悩	6310
尉	6307
傍	6295
烈	6279
堅	6254
披	6243
幻	6236
祀	6235
峠	6220
傘	6214
眠	6214
驚	6205
葛	6193
彰	6186
銭	6180
遷	6178
祥	6136
酵	6130
脂	6124
耳	6109
曽	6085
梁	6081
妃	6081
卿	6049
菜	6040
灰	6039
喫	6013
冊	6010
阻	6003
挿	6000
涯	5989
訟	5988
甘	5982
噴	5980
剛	5960
稼	5954
旬	5936
酷	5927
悟	5925
蓮	5923
懸	5909
昔	5899
旭	5863
敏	5860
胸	5853
邸	5845
呉	5814
桃	5793
暖	5773
虐	5747
遭	5737
垂	5722
匠	5711
駿	5707
幣	5703
牡	5701
吾	5693
宰	5674
恩	5656
彫	5653
措	5618
虎	5604
忍	5600
后	5589
謎	5565
伐	5564
軒	5540
瞬	5528
勃	5522
栃	5488
軟	5454
貯	5452
浸	5419
掌	5412
祉	5392
泳	5388
湿	5379
魅	5367
謡	5362
崇	5330
滋	5325
猫	5315
卓	5313
於	5308
銘	5288
輔	5287
洲	5287
旦	5271
蘭	5269
弓	5255
脅	5244
抽	5231
帳	5218
珠	5212
妖	5210
浩	5183
蘇	5181
膨	5144
拘	5121
啓	5112
召	5109
菓	5094
控	5089
磐	5089
疾	5084
陳	5076
魂	5053
捉	5043
墜	5040
鋭	5021
猛	4987
昆	4984
辛	4979
盾	4972
嶋	4969
鼻	4945
励	4943
蓄	4941
洪	4925
嫡	4886
桁	4877
粋	4872
堤	4871
丈	4867
尼	4864
殻	4864
尻	4855
皆	4851
勅	4838
揃	4838
硫	4822
赴	4812
薦	4807
禅	4754
沙	4753
鍵	4744
稀	4731
棟	4721
朱	4716
孤	4715
克	4695
宏	4693
蒲	4691
壇	4685
斐	4682
斬	4682
賊	4668
稚	4660
閥	4657
